,score
0xff19ad332cc5bb32703a3058c6f93ce177cfbb08,51.24
0x1e5b5cf3ce6fa10ef40d2a3d06d7bc62d8d032cc,51.23
0x6d2af065ccb60c0f7e8ec5907c961c42a3447127,51.23
0x19360799a15730fac556088793895aa7650ee442,51.22
0x96c8e2a1eab72eea758b6694fb2217c4118bb803,51.21
0x983f14fb20991589de9bdc48d6990ddb8e41d918,51.2
0xa59073c0e036edbdb5dc4e88f42bd9b32d6e968b,51.2
0x429e8a3534b37379c7e5dfa6db41f50d415ba163,51.19
0x3979f8fd1176e266c0b8497ec74cbeab82949a7d,51.18
0xe40afc776c18d8925199dcce78d0b06c9222b896,51.15
0x23732c68e444c09fca1c139d9e90a58217560224,51.15
0x8389233333515783dd3fd382ee7511f0f4951be1,51.15
0xd6390178b2002a0758e8b3486fddc1c4bc23ebe1,51.13
0xf302bcab2e713c3fee240e336a44453f700ce69c,51.11
0x9b1b504491fc206368bf048ff564249d8a81caa9,51.11
0xd998171b51dede5bb420228f8ca6e349daf0fd62,51.1
0x8b26754becb2f0b00f64a4345da8e0f53ddab673,51.09
0x8662f71896d5770e2991a2e6fc1836c5c5ba3a67,51.08
0x000be263b3ceb55d22ed9b40d7619f62c4862c80,51.03
0x9c0d566b965e4361833ae5207b5544bb35827e18,51.01
0xa1df7157e5eb60c4f9bcffb6a2f725a4b6492ca7,50.99
0xaa228431cc2b3db67b456e5be5d6877070ed63ab,50.99
0x199da66fea63520d64b213ee3e7eb7cdfb650d62,50.98
0x1658a95d08bc44111a93f7afcab8444b7e8dc0c7,50.96
0x4282890ff9661a51ea367aeddf341c6f6395d4e1,50.95
0x68579abf20d8962926ac9299a621b85abfcb8c7f,50.94
0xbed4e3cd89918563a9ce4b04cf5379daf566bd53,50.94
0x68f3fe77902b769f839e2763ffdd0858a2cb1fe0,50.94
0x44281ef600c0f95b0d6fbab545f3f837b1bca4d1,50.93
0xc64de5e0f97c21606e1f31426eb5c98ab729c08e,50.93
0x03ed2992a1d07ab57ec01f0c8914e22b53e48d87,50.92
0x45f1e5d98b7c338cd7cdcbcecc47ddef193674b1,50.92
0x8e5d30f161ba3ebb09dc3c1f06515656af34baa1,50.91
0x3173acd056c8d6bb3ec849d3f6ffa90b8fda208b,50.91
0xdbc9454541a32fc0cc1b76cfc674a76aab6233a9,50.88
0x48f3b8871c0da97c2db6ec35e0961fc269870d63,50.87
0xefd0199657b444856e3259ed8e3c39ee43cf51dc,50.87
0xd19604efb40ece1efd6df5de6d3892112b51e99a,50.86
0x285306442cd985cab2c30515cfdab106fca7bc44,50.84
0xd12ca1d1308b34b1ed2aaad8257d52b92af40910,50.82
0x42ab9e1c9332e61eba3a17b53fce2abf73dc8b12,50.81
0x7f9095575034fadc9bcaeb29c5157c9c6a8d89ba,50.8
0xa7f56a6dd807d40fd24f6e0f56f1bcab7dcccaf4,50.8
0xcd5f8fa45e0ca0937f86006b9ee8fe1eedee5fc4,50.76
0xb7128fb2180aa8d93c769ee7d261950c9acf002b,50.76
0xb825beb4ea6ea1285bb68f7cdafab6ba8bae6dc2,50.76
0x9ce8f85083fcf364467a827cb15730102306ed1c,50.73
0x2848b9f2d4faebaa4838c41071684c70688b455d,50.72
0xce75dc60005f890c4ac7b3d3ce042e57ebb0a919,50.71
0x3771eef3e76329ac4c17962a158a895545795c0d,50.7
0xc2351c961181ecd4e682857224e873ebbf956fde,50.68
0x472dbf5a1b070f9efc2491cb3b98445e06599e21,50.68
0x7060380f1f31ec257fb69dd4ec52c2ccc07c31d6,50.67
0xa2cdabfa4141c59e1406516da6d937e35fcf42e7,50.66
0xeb1033916a795e424cbe46868d6c08bfb8a2d2f8,50.65
0x5029259f5f4125d6517c2082b8b942657af3b509,50.63
0xfaf95953a36ed1e8f8426ab5b7eb53da246e3476,50.62
0x40d83d66673ec330c3cdb45b6ac9eb884d262a71,50.62
0x03e3702d91098350d057ded0a05095f703bba2e7,50.62
0x90ea1efad9b6c2df0ad2e4f362048fe22bc126f2,50.61
0xedcd518221d67769f2a85acf801e6ba4918a55c7,50.6
0x98723710a60bf3d2e32c281d8209935e8925e0d7,50.59
0x19ee7696d2a71548a7f1fc9cef644460d7e73297,50.59
0x9dfac9bbe1119da5dcdd7b095db40920cde878ef,50.59
0x9d329842b5c5eece3b094e7b4643a081cc6525cc,50.58
0xc1852f917835a9f2f97112672bc5c8afd1f21dc3,50.58
0x7a2e1aa94f24ff70006fd77611d67d17c36db758,50.56
0x3433139d05ad5cf0f2a5cb84b6189aef6fad5e44,50.56
0x2025a9196d6fa1011080845c6877f6460cdb302b,50.55
0xf0b4fb521eee7561e746a2e01ef933c5a2225809,50.55
0xf46ad3ca0aacf10114c76e0b1c077a154e5522bc,50.55
0x73555792708d34d5d2c3fce67134ea691ceb4d65,50.54
0xd2925983502b2f849c96dbe449179e8b09d8c6a7,50.54
0xd97beffdf558b269257feba5df111ab718b71e24,50.53
0xcdd5febe6164452444b31f1e0f85e2bb350894c5,50.52
0xb361b6d281c5d1d398165e0a8c5a7121f6271f27,50.52
0xc8315afc044408ff3b56b84fe991c84fe0816e12,50.52
0x2a8eef99d6af8dc87b77b15545e439d41e6c9feb,50.51
0xaf7f2ee8a6ddeb1e4b0fbdc8b0ed294e0a8bf1ec,50.5
0xc968c8fd6b87874e17e37cb41e7d8b9bbc640c52,50.5
0x02ef744c9160384ce566b3e41c48fb9b35daf162,50.49
0x381a17eb78501498fa183c81648b4165826e1af7,50.49
0x1fcfd25b25ccead63665cf867f4f7cba3e75de64,50.49
0xb4390289cf47c5c05626cf75ab4da28e70de3e1a,50.49
0x26ec7fc8b97d013d3d0664ab78abcb401bf186f0,50.49
0x52feb9bf6f37bbd01309515feec062632f5ccb2b,50.48
0xf3061977e324ac93e7621f397dffc7bc78489fd4,50.48
0x57ef012861c4937a76b5d6061be800199a2b9100,50.47
0x1ee5d92751c7141798b399dffa49e41591bf3caf,50.46
0x2c577602ce5b70341bde7d90d21437242a883427,50.46
0x0e532f71e574e0d2f421e381e4d1ae2c7097b7c8,50.46
0x83e81d747529f0eb6145b149c438ab7f9bbd651c,50.46
0xc78ce4e51611ed720ec96bf584bf1b1658fd2379,50.45
0x003c52a71c887461087154eccced08cb1c5384a5,50.45
0x9e5bbca4fd2502336e6c04edec3a4a08b5071df5,50.44
0x4ae0dbd5c700c64faaf85678fc1fcdf6aba5c5dd,50.44
0xc5c04a665048403b7d7f4f5f1b165cf64385d9c7,50.44
0xb32b2fb57152a6091fba9fb4803e2df0097c55b4,50.44
0x202f0241efd14ec8d82f1165f217ab6cc29fad23,50.44
0x60dc0b25f6aa160ec8748a52f6c360c213454bd1,50.43
0xa5c3a513645a9a00cb561fed40438e9dfe0d6a69,50.43
0xffbfc78cd57025f3ef4e478ac5f909a20a22ad50,50.43
0xd3bb48f4f01876783ce5f67392c1fe05e1fa0918,50.42
0xf189bda172ddc4b6250b8c2cfbc174af18d3ad29,50.42
0xa81149cb28e2f2fec9bd1ec70f0358683750de13,50.42
0x121667b6690f5040c672c3df912a5aaf8735ca23,50.42
0xff5269e8ae6a9f2ff2a93c770fd35f8ce71712f8,50.41
0xd589607cb9b7ad12b50b528b0dff157f749df285,50.4
0x0118289457e9fd02c05e37e27a11bd09d3500021,50.4
0xd8c29a026e4368ccc5135a55e77cb0872d14cdc8,50.4
0x2f8ad7e46f984410eb9bdf4b9ecf525db20d0dd0,50.4
0xc5b1928cef3298a5b27a09055bd57149c19edd7e,50.4
0xe8bf424e047372d249d0826c5567655ba3b72f18,50.4
0xe8a6dda00bbf8634962bcf82a18c5f1b3547bb39,50.4
0x55a202da4d74e4d4273f85df72e74f0342c52209,50.4
0xe07e487d5a5e1098bbb4d259dac5ef83ae273f4e,50.4
0x4da2e85d64bece663ccab06e89b970b6b077f22f,50.39
0x6cbbd5d5e3f71280a568823adee4b18cc1be5e32,50.39
0x2346c6d59c3278729fbb3d472b6b901d2defe1bd,50.39
0xe41b78ae5c2b19caf9949f38f3d49aa3f50a8afd,50.38
0x2871b76c348e12b88a28cef388d37326e85e2fec,50.38
0x361622264aed52ff036ff8314adff6657c4153e8,50.38
0x2b6a4f029de9f6a17c0413b393770cacf28f6c8c,50.38
0x178b3e32d7e72d515ee2fd12f17fda9f553ce216,50.38
0x000000aaee6a496aaf7b7452518781786313400f,50.38
0x8782696569cb4b825f6f1fb457c14dfb823187e4,50.38
0xa1872b9b494556777d2b3ac5e699cf7fb377bafc,50.37
0xd3293cbdb67c4fa6dfd4661c10f11d5b9ea9bcd8,50.37
0x1e4156224fa1298f33de72fe1554526f7c37f3ec,50.36
0xf85a551811c40e7ffb912a21efe2c26277be8ebc,50.36
0x1a50a6238eb67285ccd4df17f75cce430baae2a4,50.36
0xe6f6f9492098aad009faa3f9b84f35c0b6ee7f3c,50.36
0xcf5c590f3456a9e76633090772eced2d520d9230,50.35
0x0598df9ef51616e9c015a4f17918507259b22baf,50.35
0xc424e90ace50df63efe178ed5f28cf3759cf51ea,50.35
0x2a06cd16265ddedfee2ac3b41f0aae2fbae241e3,50.34
0xf6fdee29e3a14610fdbe187e2d3442543cfa45b8,50.34
0x415f0d59c06ccf2bd5146c1d8b1e8ee9437045f3,50.33
0xba9d373d14ff405e9cafad7e21da3e86ac889fff,50.33
0xfdf9c91fa7157eba9fa6b85a923585c0d0b9f6e3,50.33
0x6a76274f50711486ab0799e75150130746ab542b,50.33
0xfd1935fd3c8f49723deb7296c58ba4bb1a0e48e1,50.32
0xb5209fe9a0341a2dc9c9ce19e48728bb9963c81e,50.32
0xa8696af071914351810dd5abb03bc938cea2830f,50.32
0xcf23abf7047685fb020ea16ee4feea3a195edcff,50.32
0xc40c82d5917f74c97504c5de063f7c4eb3a01750,50.32
0xc9c50b55c3085606ff05c70ac8cbaf26240891ae,50.31
0x13dc08f5ddbcbfdf6ebc04c909c3052a2aa7a111,50.31
0x740ed6d02e273fe0f46c997f6d894b8e26ddf757,50.31
0x47917255d73810620c841a35e5ee42c008e951b0,50.31
0x5eca9a84b31f7dcd83c68b015df498b0c4f65f6c,50.31
0xc3fdadbae46798cd8762185a09c5b672a7aa36bb,50.3
0xed6e891a405e8ad9692ac1ad2f0833debc7e4f86,50.3
0xbfc54c36fbd010d53975ef38e90462c1a7afdb60,50.29
0xe80d953d0b4f2931549473e803c95f559b6ea58e,50.29
0x048a81d4ab58a7670308f0d6728a0bf825c6ae5f,50.28
0x9b4e28020b94b28f9f09ede87f588e89c283cffd,50.28
0xfcd34c86de414b955c41239cff04cd67c04417d0,50.28
0xaaf4d001080b511df8ad90090c435ac1affc5a1a,50.28
0x2cc3eab54a605d9af1ef0506a7ad66652d73ef20,50.26
0x9ef190ae70ce60126d1899fe29645ade741eca58,50.26
0xc023d24aadf84c20dfb554e90669797b48ac8620,50.26
0xb9ed3a2b35396e960af7a812d330726678795d29,50.26
0x0759d524faa4a6f27423496c8eed65daf27bfa96,50.26
0x9dafd2b0627955f9398f65324af581d44958d4d8,50.26
0xf11d95bd4c18e4a792cd3ffb581e2c30890724a3,50.26
0x0b9b7a99308064bf1238dff693237429844fa623,50.25
0x985c0748a95d30ba0585dbc33c4c366a56be8ed3,50.25
0x2e2e054353a54f98ae44be6b4a6883a597202e1f,50.25
0xe670c92e93f88761004f86b28c101cd8b9ca57a9,50.25
0x7c76f4db70b7e2177de10de3e2f668dadcd11108,50.25
0xab04cad5755d150d384fe6b1bd3dedeca670a01e,50.24
0xdcfcbd0ee537882be942477c0955b97ff1903320,50.24
0x39170b2e81923d226334e446ad1ce80341f94a5b,50.24
0x605129f139e396e1a432106e6c5245482ae75b79,50.24
0x6160b08d3efaa092db1b310e96118ce9f7169325,50.24
